epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,227.43,1.79663,3.62476,1.78495,0.00933,0.34443,0.02546,0.01049,1.30615,3.58933,1.64174,0.00064305,0.00021435,0.00064305,0.00021435,0.00064305,0.00021435,0.00064305,0.00021435
2,398.713,1.52329,3.54092,1.61072,0.01244,0.39648,0.03336,0.01234,1.21789,3.55221,1.56599,0.00130266,0.000434219,0.00130266,0.000434219,0.00130266,0.000434219,0.00130266,0.000434219
3,566.906,1.31687,3.44056,1.46388,0.01716,0.46333,0.08783,0.03795,1.11255,3.44283,1.39023,0.0019351,0.000645033,0.0019351,0.000645033,0.0019351,0.000645033,0.0019351,0.000645033
4,712.4,1.24944,3.20099,1.37407,0.02529,0.53537,0.17904,0.09247,1.05715,3.24332,1.24072,0.00254038,0.000846794,0.00254038,0.000846794,0.00254038,0.000846794,0.00254038,0.000846794
5,850.669,1.23441,2.9157,1.33089,0.0328,0.60186,0.25322,0.1476,1.06293,2.99306,1.22034,0.0031185,0.0010395,0.0031185,0.0010395,0.0031185,0.0010395,0.0031185,0.0010395
6,993.36,1.2211,2.49328,1.30236,0.92495,0.19984,0.30859,0.20066,1.10796,2.29327,1.22263,0.00366946,0.00122315,0.00366946,0.00122315,0.00366946,0.00122315,0.00366946,0.00122315
7,1120.98,1.25382,2.17353,1.3195,0.29346,0.33886,0.33398,0.22968,1.12313,1.7612,1.2243,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,1254.05,1.21081,1.82416,1.30145,0.84227,0.50667,0.54102,0.38898,1.13762,1.47863,1.25902,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,1382.31,1.21153,1.58705,1.33506,0.85876,0.59259,0.60494,0.43139,1.14844,1.29344,1.27097,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,1504.88,1.19912,1.50142,1.34024,0.90422,0.56831,0.62402,0.4357,1.15015,1.28168,1.26763,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,1636.28,1.15757,1.39695,1.31793,0.8762,0.61091,0.7296,0.50367,1.11222,1.19466,1.25163,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,1767.61,1.15031,1.28506,1.31568,0.65146,0.74481,0.82305,0.55903,1.04162,1.10181,1.22696,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
